manual,ai_model,strict_accuracy,strict_percent,normalized_accuracy,normalized_percent
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,10/15,66.67%,11/15,73.33%
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=2),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Status word),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=not found),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Address (subnetwork.nodes[0].properties.nodeAddress=47),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=511),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=513),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Status word),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Status word),,,
9203_mcm_101.pdf,gpt-5.1,9/15,60.00%,10/15,66.67%
9203_mcm_101.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=4511),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=9203MCM101),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
9203_mcm_101.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Password),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read PASSWORD),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,8/15,53.33%,9/15,60.00%
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=APM-MAX),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=115200),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=192000),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=not found),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
a_si370010--_en.pdf,gpt-5.1,1/16,6.25%,1/16,6.25%
a_si370010--_en.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=si370010),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=16),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1792),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=2048),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=2),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=7),,,
a_si370010--_en.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength=4,,,
a_si370010--_en.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength — not found,,,
a_si370010--_en.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=16),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=1792),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=14),,,
a_si370010--_en.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data=2,,,
a_si370010--_en.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data — not found,,,
a_si370010--_en.pdf,gpt-5.1,Expected: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Device state),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read COM Modbus Master),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=0),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=1),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=0),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
MN040018_EN.pdf,gpt-5.1,9/15,60.00%,10/15,66.67%
MN040018_EN.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
MN040018_EN.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Fan Runtime),,,
MN040018_EN.pdf,gpt-5.1,"Predicted: Node Name (subnetwork.nodes[0].properties.name=PowerXL Modbus RTU Variable Frequency Drives / Variable Speed Starters DA1, DB1, DC1, DE1)",,,
MN040018_EN.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=19),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=0),,,
MN040018_EN.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Fan Runtime),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Fan Runtime),,,
MN040018_EN.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=9600),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
MN040018_EN.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=0),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=1),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,4/17,23.53%,5/17,29.41%
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=RTU_ELR),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=ELR-3BN),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=16),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=8447),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=8448),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[4].properties.data=4,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[4].properties.data — not found,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength=4,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength — not found,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=16),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=8447),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=4),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data=2,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data — not found,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Reset Mode),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read RESET MODE),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=9600),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=not found),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=1),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,8/15,53.33%,9/15,60.00%
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Temperature),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=not found),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Node Address (subnetwork.nodes[0].properties.nodeAddress=247),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=35),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=36),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Temperature),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Temperature),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,9/15,60.00%,10/15,66.67%
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=RTVS1),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=RTVS1 TRANSFORMER FAN SPEED CONTROLLERS WITH MODBUS RTU COMMUNICATION),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Device state),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Device state),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=2),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=0),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=1),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=not found),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=0),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,12/15,80.00%,13/15,86.67%
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1051),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=not found),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Power_factor_A),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Power Factor A),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,11/15,73.33%,12/15,80.00%
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Eastron SDM120Modbus Smart Meter),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=SDM120-Modbus),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=voltage),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Voltage),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=1),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=not found),,,
AVERAGE,gpt-5.1,10 manuals,53.64%,10 manuals,59.57%
